,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
payout,(많은 액수의) 지불금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screw,나사(못),나사를 조이기[돌리기],"섹스, 성교",섹스 상대,(비행기선박의) 프로펠러[추진기],"교도관, 간수",나사로 고정시키다,(병마개 등을) 돌려서 조이다,(무엇에 대고) 돌리면 고정되다,(특히 종이를) 구깃구깃 말다[뭉치다],(사람에게서 특히 많은 돈을) 우려[뜯어]내다,(…와) 섹스[성교]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,
responsible,(…을) 책임지고[책임 맡고] 있는,(…에 대해) 책임이 있는[책임을 져야 할],(…의) 원인이 되는,~에게 보고할 의무가 있는,책임감 있는,책임이 막중한,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translate,"번역[통역]하다, (다른 언어로) 옮기다","번역되다, 통역되다",(다른 형태로) 바꾸다[옮기다]; 바뀌다,"(특정하게) 이해[해석]하다; 뜻하다, 의미하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
widespread,"광범위한, 널리 퍼진",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish,접시,설거지감[그릇들],(식사의 일부로 만든) 요리,(접시 모양의 오목한) 그릇,섹시한[끝내 주는] 사람,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recommendation,권고,추천,추천장[서],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand,손,… 손을 사용하는,도움(의 손길),(특정 상황에서의) 역할[영향력],"(시계) 바늘, (시/분/초)침",(농장공장의) 일손[일꾼/노동자],(배의) 선원[승무원],(기계가 아닌) 사람 손으로 하는,(카드놀이에서 손에 쥐게 된) 패,(카드놀이의 한) 판,"필체, 서체",핸드(말의 키를 재는 단위. 4인치 또는 10.16센티미터에 해당),"건네주다, 넘겨주다",,,,,,,,,,,,,,,,,,,,,,,,,,
managerial,경영[관리/운영]의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psychological,"정신[심리]의, 정신[심리]적인",심리학적인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knowledgeable,"아는 것이 많은, 많이 아는",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brighter,"(빛이) 밝은, 눈부신, 빛나는","선명한, 밝은","발랄한, 생기 있는",똑똑한,"(앞날이) 밝은, 희망적인","밝게, 환히",(최대한 밝게 한) 전조등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
queen,여왕,"왕비, 왕후",(어떤 집단·지역에서) 여왕 같은[가장 우수한] 존재,(축제 등에서 뽑힌) 여왕,(체스에서의) 퀸,(카드놀이에서의) 퀸,(곤충의) 여왕,"(경멸투로, 여자 같은) 남자 동성애자",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcite,"방해석(탄산칼슘으로 이뤄진 흰색 또는 투명한 광물질로, 석회암·대리석·백악의 주성분)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quarterly,분기별의,계간지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stop,"(움직임이동을) 멈추다, 서다, 정지하다; 멈추게 하다, 세우다","(하던 일을) 멈추다, 그만하다, 중단하다","끝나다, 그치다, 멎다; 끝내다, 마치다",(어떤 일이나 행동을) 막다,(하던 일을) 잠시 멈추다[쉬다],"(작동기능이) 멎다[멈추다]; 정지시키다, 세우다",(특히 남의 집에 잠깐) 머무르다[있다],(지불을) 정지시키다,(구멍 등을) 막다[채우다/폐쇄하다],"멈춤, 중단; (잠시) 머묾","정류장, 정거장",,(오르간의) 음전,스톱(오르간에서 음역을 조절하거나 변화시킬 때 사용되는 도구),"파열음, 폐쇄음(k, t처럼 입 밖으로 나오려는 공기를 일단 막았다가 갑자기 터뜨리면서 내는 소리)",,,,,,,,,,,,,,,,,,,,,,,,
tours,(여러 도시국가 등을 방문하는) 여행,(도시건물 등을 걸어서 둘러보는) 관광[방문],순회 (공연대회 등); 순방,순회[순방]하다; 관광하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
javelin,(투창 경기용) 창,투창 (경기),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicate,(사실임·존재함을) 나타내다[보여 주다],(조짐·가능성을) 나타내다[보여 주다],(특히 간접적으로) 내비치다[시사하다],(특히 손가락이나 고갯짓으로) 가리키다,(표 등으로) 표시[표현]하다,(글로) 명시하다,가리키다,(불빛이나 손짓으로 방향 전환) 신호를 보내다,"필요하다, 권고되다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sized,[보통 복합어를 이루어] 크기가 …한,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debater,토론자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,"형(태), 유형, 종류","(특정한 성격특징 등을 지닌) 사람, 타입","…종류[유형]의, -식의","활자, 자체(字體)",(타자기컴퓨터로) 타자 치다[입력하다],"유형[종류]을 알아내다, (유형별로) 분류하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factor,"요인, 인자",인수,(증가감소의) 양[비율],(측정도를 나타낸) 지수,(혈액의 응고를 돕는 혈액 속의) 인자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noticeable,"뚜렷한, 현저한, 분명한",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translator,"번역가, 통역사",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
athens,아테네 ((그리스의 수도; 고대 그리스 문명의 중심지)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliably,신뢰[신용]할 수 있어; 확실하게.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanitation,위생 시설[관리],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specially,(특정 목적·사람 등을 위해) 특별히,특히,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sei,정어리고래(~ whale).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crime,범죄,범행,죄악,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
since,…부터[이후],(화가 나서 하는 말로) 언제부터 (…했다고 그래)?,"…한 이후로, …한 때로부터, …한 지","… 때문에, …므로[여서]",그(때) 이후로 (과거 어느 시점까지·지금까지),그 후 (어느 시점에),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recreation,"레크리에이션, 오락","오락 삼아 하는 일, 취미",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internship,인턴사원 근무 (기간),"인턴직, 수련의직",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grooved,홈이 있는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
career,직업(보통 시간이 흐를수록 책임도 커지는 직종); 직장 생활,"사회생활, (특정한 일을 하면서 보내는) 생활[경력]",(제멋대로) 달리다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
color,→ see colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alter,"변하다, 달라지다; 바꾸다, 고치다",(옷을) 고치다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
objective,"목적, 목표",대물렌즈,객관적인,실재하는; 실증적인,목적격의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devise,창안[고안]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mall,"쇼핑 몰  ((충분한 주차장을 갖춘 보행자 전용 상점가)), 쇼핑 센터(= shopping ~)",나무 그늘이 진 산책길; [[영] mǽl] [The M~] 런던 St. James 공원의 나무 그늘 우거진 산책길,[영] 팰맬(pall-mall) 놀이(터); 팰맬 놀이에 쓰는 나무 망치,(고속도로의) 중앙 분리대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waterfront,"(도시의) 해안가; 물가, 부둣가",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procession,(특히 의식의 일부로 하는) 행진; 행렬,(차례로 나타나는 사람들의) 줄[행렬],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
band,(가수를 중심으로 한 소규모 대중음악) 밴드,(금관악기타악기 등을 연주하는) 악단[악대],(함께 어울려 다니는) 무리,"띠, 끈","띠(모양의 것), 줄무늬","(무선) 주파대, 밴드",(연령가격 등을 일정하게 나눈) -대,띠[줄무늬]를 두르다,(가격소득 등을) 일정한 범위로 나누다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acceptable,(사회적으로) 용인되는[받아들여지는],(수준 등이) 받아들일 수 있는[허용할 수 있는],그런대로 괜찮은,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walter,"남자 이름 ((애칭 Walt, Wat))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbal,언어[말]의,"(글이 아니라) 말로 된, 구두의",동사의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft,"(딱딱하지 않고) 부드러운, 푹신한",(일반적인 것보다) 연한[무른],"(꺼칠꺼칠하지 않고) 부드러운, 매끄러운","(굴곡·각도 등이) 부드러운[완만한], 아련한",(빛·색깔이) 은은한[부드러운],(비·바람이) 가벼운[약한],(소리가) 은은한[부드러운],(마음이) 약한[여린],(엄격·단호하지 못하고) 관대한[물렁한],"멍청한, 정신 나간",나약한,안이한,(물이) 연성[연수/단물]의,연음(軟音)의(city의 c나 general의 g 같은 발음),,,,,,,,,,,,,,,,,,,,,,,,,
instituted,(특히 교육전문 직종과 관련된) 기관[협회],(제도정책 등을) 도입하다; (절차를) 시작하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imagination,"상상력, 상상","가상, 착각",창의력,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mrs,(기혼 여성의 (남편) 성·성명 앞에 붙여) … 부인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gas,"기체, 가스",(난방조리용 연료인) 가스,(마취진통용) 가스,독가스; 최루탄,,,재미있는 사람[일],,독가스로 살해하다[중독시키다],길게 잡담을 하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misinterpret,잘못 해석[이해]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
systematic,"체계적인, 조직적인",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reporter,"(보도) 기자, 리포터",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advantage,"(누구에게) 유리한 점, 이점, 장점","(무엇의) 이점, 장점",어드밴티지(스코어가 40대 40인 상태에서 먼저 올리는 득점),(~에게) 유리하게 하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allentown,알렌타운: 미국 Pennsylvania 주 동부의 도시.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackout,정전(停電),(정부·경찰에 의한) 보도 통제[정지],등화관제,(창문에 치는) 암막(暗幕),일시적인 의식[시력/기억] 상실,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tentative,잠정적인,"머뭇거리는, 자신 없는",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holiday,(직장의) 휴가; 방학,(집을 떠나 여행 등을 가는) 휴가,"공휴일, 휴일",연말연시,휴가를 보내다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pound,£ 파운드(영국의 화폐 단위. 1파운드는 100펜스(pence)),파운드(일부 국가들의 화폐 단위),(다른 국가들의 화폐 가치와 비교한 영국) 파운드(화)의 가치,파운드(무게 단위. 0.454킬로그램),견인된 불법 주차 차량 보관소,주인 잃은 개 보호소,(특히 요란한 소리를 내며 여러 차례) 치다[두드리다],쿵쾅거리며 걷다,(가슴피가) 쿵쿵[마구] 뛰다; (머리가) 지끈거리다,(가루가 되도록) 빻다[찧다],(폭탄총알 등으로) 맹공격하다,(음악 소리가) 쿵쾅거리다,,,,,,,,,,,,,,,,,,,,,,,,,,,
midnight,"자정, 밤 열두시, 한밤중",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sophia,"여자 이름 ((애칭 Sophy, Sophie))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coast,해안 (지방),(동력을 쓰지 않고) 관성으로[저절로] 움직이다,(동력을 많이 쓰지 않고) 부드럽게 움직이다,수월하게 해 내다,(일을 열심히 하지 않고) 설렁설렁 하다,(해안선을 따라) 육지 가까이 항해하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apt,적절한,"잘 …하는, …하는 경향이 있는",(…에 대해) 소질을 타고난 사람,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ball,공,"공 모양의 물체, 덩이, 뭉치",(차거나 치거나 던진) 공,볼,엄지발가락/손가락 아래쪽의 동그란 부분,고환 (한 쪽),"(큰 규모의, 격식을 갖춘) 무도회",동그랗게 만들다; 동그랗게 되다,(남자가) 여자와 섹스를 하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ingested,(음식·약 등을) 삼키다[먹다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meticulously,꼼꼼하게; 좀스럽게,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shallow,얕은,"얄팍한, 얕은, 피상적인",(호흡이) 얕은,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merit,가치; 훌륭함,"가치 있는[훌륭한] 요소, 장점",우수한 평점[성적],(학교에서 선행에 대해 상으로 주는) 가점,(칭찬관심 등을) 받을 만하다[자격/가치가 있다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derby,,(동일 지역 내의 스포츠팀들끼리 하는) 시합[경기],"경주, 경마 (대회)",(매년 개최되는 몇몇 경마 대회 이름에 쓰여) 경마 대회[더비],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arcadia,"아르카디아, 목가적 이상향",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retirement,(정년이 되어서 하는) 은퇴[퇴직],은퇴 생활,(특히 스포츠나 정계의) 은퇴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lack,"부족, 결핍",…이 없다[부족하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
visibility,"시정(視程), 시계(視界)","눈에 잘 보임, 가시성",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotlines,(특정 문제에 대한) 상담[서비스] 전화,"(정부간의) 직통 전화, 핫라인",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incrementally,증가하여.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collaboratively,협력적으로 ; 합작으로.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statistician,"통계 전문가, 통계학자",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depart,(특히 여행을) 떠나다[출발하다],(직장을) 떠나다[그만두다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lose,"잃어버리다, 분실하다",(사고·노령·사망 등으로) 잃다[상실하다],(~에게) ~을 잃다[빼앗기다],포기해야 하다; 지키지 못하다,(무엇이 하나도 안 남을 때까지 조금씩) 잃다[줄다],(말을) (알아)듣지[이해하지] 못하다,(사람이 하는 말이) 이해되지 못하다,따돌리다,(시합·소송·논쟁 등에서) 지다[패하다],"(원하거나 필요한 것, 특히 돈을) 잃다; (…을 못 지키고) 잃게 만들다",(시간·기회를) 허비하다,(시계가) 느리게 가다[느리다],,,,,,,,,,,,,,,,,,,,,,,,,,,
completion,"완료, 완성",(특히 주택 같은 재산의) 매매 실현[완료],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international,국제적인,(두 국가 사이의 스포츠) 시합[경기],국제 경기 출전 선수,외국인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic,국내의,"가정(용)의, 집안의",가정적인,사육되는; 애완용의; 길들여진,"가정부, 가정 도우미",집안[가족간의] 싸움,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wish,&lt;가능성이 낮거나 불가능한 일을 바라며 ‘…이면 좋겠다’고 생각함을 나타냄&gt;,"원하다, 바라다","기원하다, 빌다",&lt;남의 행복행운 등을 바란다고 말하거나 빌어 주다는 뜻을 나타냄&gt;,"바람, 의도, 소망","바라는[원하는] 것, 소원","소원, 기원",&lt;특히 편지카드 등에서 다른 사람의 행복건강성공을 기원한다는 뜻을 나타낼 때 씀&gt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habitat,서식지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recent,최근의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bill,"고지서, 청구서",(식당의) 계산서,,(국회에 제출된) 법안,(극장 등의) 프로그램,"벽보, 광고지",(새의) 부리,부리가 …한,,청구서[계산서]를 보내다,(~을 ~로) 홍보[묘사]하다,"알리다, 홍보하다",,,,,,,,,,,,,,,,,,,,,,,,,,,
lambda,"람다(Λ, λ: 그리스어 알파벳의 열한째 글자)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strafford,"1st Earl of (Thomas Wentworth), 스트래퍼드(1593-1641): 영국의 정치가; Charles I의 중요한 보좌역.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unsurprising,놀랍지 않은,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
researched,"연구, (연구) 조사",연구[조사]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small,"(크기수양정도가) 작은[적은], 소규모의",(여러 치수로 나오는 물건 중) 작은[소] (치수의),(같은 종류의 큰 것에 비해) 작은,어린,"사소한, 대수롭지 않은, 작은",(사업 등이) 소규모의,소문자의,"거의 없는, 많지 않은",잘게,작게,허리의 잘록한 부분,작은 옷들(특히 속옷),,,,,,,,,,,,,,,,,,,,,,,,,,,
coordinate,조직화[편성]하다,(몸의 움직임을) 조정하다,(옷차림가구 등을) 꾸미다[코디하다]; (옷차림가구 등이) 잘 어울리다[조화되다],좌표,함께 잘 어울리는 옷들,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
company,회사,(함께 일하거나 공연하는) 단체,함께 있음,(집에 온) 손님,함께 있는 사람들,중대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forecast,"예측, 예보",예측[예보]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairy,(이야기 속의) 요정,호모,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
science,(자연) 과학,(연구 과목으로서의) 과학,(특정한 분야의) 과학,(특히 인문·사회 부문) 학문[-학],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper,종이,신문,(편지개인적인 자료 등의) 서류,(신분증허가증 등의 공식적인) 문서[증서],시험 (문제들); 시험지,논문 (발표),(학생의) 과제물[리포트],벽지,(보기 좋게 하려고) 도배하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fort,"보루, 요새",진지(陣地),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rating,(상대적인 인기·중요성 등의) 순위[평가],"(텔레비전의) 시청률, (라디오의) 청취율",(영화의) 등급,(해군) 수병,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garbage,(음식물·휴지 등의) 쓰레기,(음식물·휴지 등을 버리는) 쓰레기장[통],말도 안 되는[사실이 아닌] 것,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exhibit,전시하다,(감정특질 등을) 보이다[드러내다],전시품,(법정에서의) 증거물,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collective,"집단의, 단체의","공동의, 공통의",공동 사업(체),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biological,생물학의,생물체의,효소를 함유한,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foldable,"접을 수 있는, 접혀지는.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kg,(글에서) 킬로그램(kilogram(s)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arranged,"If you say how things are arranged, you are talking about their position in relation to each other or to something else.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vern,남자 이름 ((Vernon의 애칭)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luggage,(여행용) 짐[수하물],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
familiarity,"익숙함, 낯익음",친근함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teleconference,(원격) 화상 회의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist,"경제학자, 경제 전문가",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collect,"모으다, 수집하다",(취미로 무엇을) 수집하다,모이다,(어떤 장소에 서서히) 쌓이다[모으다],…을 데리러[가지러] 가다,모금하다,(빚세금 등을) 수금하다[징수하다],(상 등을) 받다[타다],요금을 수신자가 부담하는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clothe,옷을 입히다,입을 옷을 마련해 주다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wellness,건강(함),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attendant,(공공장소에서 사람들의 편의를 돌보는) 종업원[안내원],수행원; 간병인,수반되는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philippine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thursday,목요일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enhancement,"[UC] (가격·매력·가치 등의) 상승, 등귀; 향상, 증대",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herrick,"Robert, (1591-1674): 영국의 시인.","Robert, (1868-1938): 미국의 소설가.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
race,"경주, 달리기 (시합), 레이스",(특히 정권을 잡거나 무엇을 처음 성취하기 위한) 경쟁,경마 대회,"인종, 종족",민족,(동식물의) 품종,"경주[경쟁]하다, (경주달리기 시합에) 참가하다",(동물자동차를) 경주하게 하다,쏜살같이[급히] 가다[가게 하다],(두려움흥분 등으로 뇌심장 기능 등이) 바쁘게[정신없이] 돌아가다,질주하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin,비타민,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kim,남자[여자] 이름.,R. Kipling의 동명(同名) 소설의 주인공.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
passionately,"열렬히, 격렬하게; 격노하여",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabin,"(배의) 객실, 선실",(항공기의) 선실,(보통 나무로 된) 오두막집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parian,,Paros 섬의,"거기서 나는 백색 대리석의[같은, 으로 만든]",Paros 사람; [U] 백색 도자기의 일종,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
injury,부상,(마음의) 상처[피해],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publicity,매스컴[언론]의 관심[주목],홍보[광고](업),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,"(부모와 자녀로 구성된) 가족, 가정, 가구(家口)","(가까운 친척들을 포함한) 가족, 집안 식구","가문, 가계",(특히 어린) 자녀,(동식물 분류상의) 과(科); 어족(語族),"가족[가정]의, (특정) 가족과 관련된",가족[집안] 소유의,가족에게 알맞은,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repetitive,(지루할·단조로운 정도로) 반복적인,(계속) 반복되는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consent,(특히 권위 있는 사람에 의한) 동의[허락],합의,(정식) 인가,동의[허락]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newspaper,신문,신문지 (종이),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unused,(현재) 쓰지[사용하지] 않는; 한 번도 사용되지 않은[쓴 적이 없는],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presence,"(특정한 곳에) 있음, 존재(함), 참석",있음,(특정 상황을 처리하기 위해) 주둔하는 사람들; 주둔군,(보이지는 않지만 가까이 있는 것으로 느껴지는) 영[영혼/존재],"풍채, 풍모",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm,팔,소매,(의자의) 팔걸이,암(기계에서 팔과 같은 기능을 하는 기다란 부분),(강·육지의) 줄기[갈래],(조직의) 부문,(스스로) 무장하다; (~를) 무장시키다,"(폭탄 등이) 폭발하게 만들다, 폭파 준비를 하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farthing,파딩(구 페니의 ¼에 해당하던 영국의 옛 화폐),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revise,(의견·계획을) 변경[수정]하다,(책·견적서 등의 내용을 바로잡기 위해) 개정[수정/조정]하다,"(시험을 위해) 복습하다, (시험)공부를 하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blast,폭발,(훅 밀려드는 한 줄기의) 강한 바람[공기],(악기호각경적 등의) 빵[삑] 하는 소리,맹비판[비난],신나는 경험,"폭발시키다, 폭파[발파]하다",(특히 음악이) 쾅쾅 울리다,혹평[맹비난]하다,"후려치다, 후려차다",(물공기 등을) 확 뿌리다[끼치다],(병추위 등이 식물을) 망치다[죽이다],제기랄,,,,,,,,,,,,,,,,,,,,,,,,,,,
concert,"연주회, 콘서트",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
man,(성인) 남자,"사람들, 인류",(남·여 상관없이 한 명의) 사람[인간],… 사람[–가/–인](남자) (출신지·직업·관심 분야를 나타냄),…을 좋아하는[하는] 사람[남자],"(…에서 일하는, …을 지지하는, …출신 등의) 사람[남자]","사병, 부하, 아랫사람",(가정집을 방문하여 수리 등의 일을 하는) 사람[일꾼],(남자에 대한 호칭으로) 자네[아저씨],(짜증·화가 난 어조로 남자를 부르는 표현으로) 이 사람[남자]야,"남편; (남자) 애인, 섹스 파트너",(남자·사내다운) 남자[사내],(남자) 하인,(체스 등에서) 말,(어떤 장소·기계에서[를]) 일하다[담당하다]; …에 인원을 배치[제공]하다,"아니, 이런(놀라움·분노 등을 나타냄)",,,,,,,,,,,,,,,,,,,,,,,
shop,"가게, 상점",&lt;물건을 만들거나 수리하는 곳. 특히 공장의 일부&gt;,쇼핑(특히 식품이나 가정용품을 사는 경우에 쓰임),,(집안의) 공구 창고,"(가게에서 물건을) 사다, 쇼핑하다",쇼핑을 하다[가다],(특히 경찰에) 찌르다[일러바치다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
